q_type,qnum,page,section
1,1,1,1
2,2,1,1
3,3,1,1
4,4,1,1
5,5,1,1
6,6,1,1
7,7,2,1
8,8,2,1
9,9,2,1
10,10,2,1
11,11,2,1
12,12,2,1
13,13,3,1
14,14,3,1
15,15,3,1
16,16,3,1
17,17,3,1
18,18,3,1
19,19,4,1
20,20,4,1
21,21,4,1
22,22,4,1
23,23,4,1
24,24,4,1
25,25,5,1
26,26,5,1
27,27,5,1
28,28,5,1
29,29,5,1
30,30,5,1
31,31,6,1
32,32,6,1
33,33,6,1
34,34,6,1
35,35,6,1
36,36,6,1
1,1,1,2
2,2,1,2
3,3,1,2
4,4,1,2
5,5,1,2
6,6,1,2
7,7,2,2
8,8,2,2
9,9,2,2
10,10,2,2
11,11,2,2
12,12,2,2
13,13,3,2
14,14,3,2
15,15,3,2
16,16,3,2
17,17,3,2
18,18,3,2
19,19,4,2
20,20,4,2
21,21,4,2
22,22,4,2
23,23,4,2
24,24,4,2
25,25,5,2
26,26,5,2
27,27,5,2
28,28,5,2
29,29,5,2
30,30,5,2
31,31,6,2
32,32,6,2
33,33,6,2
34,34,6,2
35,35,6,2
36,36,6,2
1,1,1,3
2,2,1,3
3,3,1,3
4,4,1,3
5,5,1,3
6,6,1,3
7,7,2,3
8,8,2,3
9,9,2,3
10,10,2,3
11,11,2,3
12,12,2,3
13,13,3,3
14,14,3,3
15,15,3,3
16,16,3,3
17,17,3,3
18,18,3,3
19,19,4,3
20,20,4,3
21,21,4,3
22,22,4,3
23,23,4,3
24,24,4,3
25,25,5,3
26,26,5,3
27,27,5,3
28,28,5,3
29,29,5,3
30,30,5,3
31,31,6,3
32,32,6,3
33,33,6,3
34,34,6,3
35,35,6,3
36,36,6,3
1,1,1,4
2,2,1,4
3,3,1,4
4,4,1,4
5,5,1,4
6,6,1,4
7,7,2,4
8,8,2,4
9,9,2,4
10,10,2,4
11,11,2,4
12,12,2,4
13,13,3,4
14,14,3,4
15,15,3,4
16,16,3,4
17,17,3,4
18,18,3,4
19,19,4,4
20,20,4,4
21,21,4,4
22,22,4,4
23,23,4,4
24,24,4,4
25,25,5,4
26,26,5,4
27,27,5,4
28,28,5,4
29,29,5,4
30,30,5,4
31,31,6,4
32,32,6,4
33,33,6,4
34,34,6,4
35,35,6,4
36,36,6,4
1,1,1,5
2,2,1,5
3,3,1,5
4,4,1,5
5,5,1,5
6,6,1,5
7,7,2,5
8,8,2,5
9,9,2,5
10,10,2,5
11,11,2,5
12,12,2,5
13,13,3,5
14,14,3,5
15,15,3,5
16,16,3,5
17,17,3,5
18,18,3,5
19,19,4,5
20,20,4,5
21,21,4,5
22,22,4,5
23,23,4,5
24,24,4,5
25,25,5,5
26,26,5,5
27,27,5,5
28,28,5,5
29,29,5,5
30,30,5,5
31,31,6,5
32,32,6,5
33,33,6,5
34,34,6,5
35,35,6,5
36,36,6,5
1,1,1,6
2,2,1,6
2,3,1,6
3,4,1,6
4,5,1,6
5,6,1,6
6,7,2,6
7,8,2,6
8,9,2,6
9,10,2,6
10,11,2,6
11,12,2,6
12,13,3,6
13,14,3,6
14,15,3,6
15,16,3,6
16,17,3,6
17,18,3,6
18,19,4,6
19,20,4,6
20,21,4,6
21,22,4,6
22,23,4,6
23,24,4,6
24,25,5,6
25,26,5,6
26,27,5,6
28,28,5,6
29,29,5,6
30,30,5,6
31,31,6,6
32,32,6,6
33,33,6,6
34,34,6,6
35,35,6,6
36,36,6,6
1,1,1,7
2,2,1,7
6,3,1,7
6,4,1,7
7,5,1,7
9,6,1,7
11,7,2,7
11,8,2,7
12,9,2,7
12,10,2,7
12,11,2,7
13,12,2,7
16,13,3,7
18,14,3,7
18,15,3,7
19,16,3,7
20,17,3,7
20,18,3,7
21,19,4,7
22,20,4,7
23,21,4,7
24,22,4,7
24,23,4,7
25,24,4,7
26,25,5,7
28,26,5,7
29,27,5,7
30,28,5,7
31,29,5,7
32,30,5,7
33,31,6,7
33,32,6,7
33,33,6,7
34,34,6,7
35,35,6,7
36,36,6,7
1,1,1,8
2,2,1,8
6,3,1,8
7,4,1,8
9,5,1,8
9,6,1,8
9,7,2,8
11,8,2,8
12,9,2,8
13,10,2,8
16,11,2,8
18,12,2,8
18,13,3,8
19,14,3,8
20,15,3,8
20,16,3,8
21,17,3,8
22,18,3,8
22,19,4,8
23,20,4,8
23,21,4,8
24,22,4,8
25,23,4,8
26,24,4,8
28,25,5,8
29,26,5,8
29,27,5,8
29,28,5,8
30,29,5,8
31,30,5,8
32,31,6,8
33,32,6,8
33,33,6,8
34,34,6,8
35,35,6,8
36,36,6,8
1,1,1,9
2,2,1,9
2,3,1,9
6,4,1,9
6,5,1,9
6,6,1,9
7,7,2,9
9,8,2,9
9,9,2,9
11,10,2,9
12,11,2,9
12,12,2,9
13,13,3,9
16,14,3,9
16,15,3,9
18,16,3,9
18,17,3,9
19,18,3,9
20,19,4,9
20,20,4,9
21,21,4,9
22,22,4,9
23,23,4,9
24,24,4,9
25,25,5,9
28,26,5,9
29,27,5,9
30,28,5,9
31,29,5,9
32,30,5,9
33,31,6,9
34,32,6,9
34,33,6,9
34,34,6,9
35,35,6,9
36,36,6,9
1,1,1,10
2,2,1,10
7,3,1,10
11,4,1,10
11,5,1,10
13,6,1,10
16,7,2,10
16,8,2,10
19,9,2,10
21,10,2,10
21,11,2,10
21,12,2,10
22,13,3,10
22,14,3,10
23,15,3,10
23,16,3,10
24,17,3,10
24,18,3,10
25,19,4,10
28,20,4,10
28,21,4,10
28,22,4,10
29,23,4,10
30,24,4,10
30,25,5,10
30,26,5,10
31,27,5,10
32,28,5,10
32,29,5,10
32,30,5,10
34,31,6,10
35,32,6,10
35,33,6,10
35,34,6,10
36,35,6,10
36,36,6,10
